Thu Jun 27 21:56:43 2024    bettertouch.prof

         423783 function calls (422998 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     62/1    0.000    0.000   44.684   44.684 {built-in method builtins.exec}
        1    0.000    0.000   44.684   44.684 bettertouch.py:1(<module>)
        1    0.018    0.018   44.476   44.476 bettertouch.py:56(main)
     4200    0.024    0.000   43.815    0.010 bettertouch.py:14(data_parsing)
     4200    0.089    0.000   43.781    0.010 {method 'readline' of '_io._IOBase' objects}
    18741   43.550    0.002   43.692    0.002 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialwin32.py:262(read)
     4185    0.012    0.000    0.626    0.000 bettertouch.py:41(inject_touch)
     3157    0.020    0.000    0.614    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:591(wrapper)
     2906    0.018    0.000    0.313    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:1260(moveTo)
     3157    0.035    0.000    0.278    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:1417(_mouseMoveDrag)
    15785    0.040    0.000    0.239    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:752(position)
     79/2    0.001    0.000    0.208    0.104 <frozen importlib._bootstrap>:1343(_find_and_load)
     79/2    0.000    0.000    0.207    0.104 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
     75/2    0.000    0.000    0.205    0.102 <frozen importlib._bootstrap>:905(_load_unlocked)
     60/2    0.000    0.000    0.205    0.102 <frozen importlib._bootstrap_external>:988(exec_module)
    168/4    0.000    0.000    0.203    0.051 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     9471    0.022    0.000    0.193    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:1732(failSafeCheck)
        1    0.000    0.000    0.186    0.186 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:1(<module>)
    15785    0.172    0.000    0.179    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:335(_position)
      251    0.136    0.001    0.137    0.001 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:466(_sendMouseEvent)
        1    0.000    0.000    0.106    0.106 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\mouseinfo\__init__.py:1(<module>)
      126    0.001    0.000    0.099    0.001 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:882(mouseDown)
    18741    0.071    0.000    0.097    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:49(create_string_buffer)
      252    0.000    0.000    0.088    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:978(system)
      252    0.000    0.000    0.087    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:889(uname)
      126    0.000    0.000    0.085    0.001 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:375(_mouseDown)
        2    0.000    0.000    0.078    0.039 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:321(_wmi_query)
        2    0.078    0.039    0.078    0.039 {built-in method _wmi.exec_query}
     3157    0.077    0.000    0.077    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:357(_moveTo)
      125    0.001    0.000    0.069    0.001 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:915(mouseUp)
        1    0.000    0.000    0.067    0.067 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:445(win32_ver)
        1    0.000    0.000    0.067    0.067 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:383(_win32_ver)
      125    0.000    0.000    0.052    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:404(_mouseUp)
     3158    0.007    0.000    0.046    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:777(size)
   128235    0.045    0.000    0.045    0.000 {built-in method _ctypes.byref}
       60    0.001    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1061(get_code)
        1    0.000    0.000    0.041    0.041 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pygetwindow\__init__.py:1(<module>)
     3157    0.002    0.000    0.040    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:642(_normalizeXYArgs)
        1    0.000    0.000    0.037    0.037 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyrect\__init__.py:1(<module>)
       79    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
     3409    0.036    0.000    0.036    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:348(_size)
       71    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
       71    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
        1    0.000    0.000    0.034    0.034 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\doctest.py:1(<module>)
      259    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
       60    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1182(get_data)
      424    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      424    0.020    0.000    0.020    0.000 {built-in method nt.stat}
       75    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       60    0.018    0.000    0.018    0.000 {built-in method _io.open_code}
    39096    0.018    0.000    0.018    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.017    0.017 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pymsgbox\__init__.py:1(<module>)
        1    0.000    0.000    0.017    0.017 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\__init__.py:1(<module>)
        7    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap_external>:1286(create_module)
        7    0.016    0.002    0.016    0.002 {built-in method _imp.create_dynamic}
     4199    0.008    0.000    0.015    0.000 bettertouch.py:24(coordinate_determination)
     1286    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.013    0.013 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialwin32.py:1(<module>)
    29/24    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap>:1384(_handle_fromlist)
        7    0.000    0.000    0.012    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.012    0.012 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1(<module>)
    19146    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x00007FFDEDB113D0}
       60    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:750(_compile_bytecode)
        1    0.000    0.000    0.012    0.012 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\pdb.py:1(<module>)
        1    0.000    0.000    0.011    0.011 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:766(_get_machine_win32)
       60    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
     9346    0.011    0.000    0.011    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.010    0.010 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyperclip\__init__.py:1(<module>)
  297/294    0.005    0.000    0.009    0.000 {built-in method builtins.__build_class__}
    18741    0.009    0.000    0.009    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.009    0.009 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:619(_node)
        1    0.000    0.000    0.008    0.008 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\shutil.py:1(<module>)
    18741    0.008    0.000    0.008    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialutil.py:355(timeout)
        1    0.000    0.000    0.007    0.007 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\socket.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyscreeze\__init__.py:1(<module>)
     4199    0.006    0.000    0.006    0.000 {method 'decode' of 'bytes' objects}
       14    0.000    0.000    0.006    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:226(compile)
       14    0.000    0.000    0.006    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py:280(_compile)
       14    0.000    0.000    0.005    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:738(compile)
       98    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      251    0.002    0.000    0.005    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:825(_normalizeButton)
       91    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.004    0.004 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\subprocess.py:1(<module>)
     3487    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
       79    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
       60    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.004    0.004 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\main.py:1(<module>)
     4233    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
     3158    0.002    0.000    0.003    0.000 <string>:1(<lambda>)
       14    0.000    0.000    0.003    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:962(parse)
    44/14    0.000    0.000    0.003    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:445(_parse_sub)
    48/14    0.001    0.000    0.003    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:505(_parse)
      120    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
       16    0.002    0.000    0.003    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py:355(namedtuple)
7555/7475    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       60    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1201(path_stats)
        1    0.000    0.000    0.003    0.003 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\doctest.py:586(DocTestParser)
        1    0.000    0.000    0.003    0.003 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\code.py:1(<module>)
       75    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        6    0.000    0.000    0.003    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:902(_convert_)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\difflib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\bz2.py:1(<module>)
      251    0.002    0.000    0.002    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\_pyautogui_win.py:461(_mouse_is_swapped)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\cmd.py:1(<module>)
      100    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      127    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\platform.py:1(<module>)
       67    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:610(_get_cached)
       14    0.000    0.000    0.002    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:571(_code)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\win32.py:1(<module>)
      311    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1465(_path_importer_cache)
        7    0.001    0.000    0.002    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\enum.py:1679(convert_class)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\result.py:1(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialwin32.py:29(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialutil.py:180(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialwin32.py:35(open)
       60    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\webbrowser.py:1(<module>)
        1    0.002    0.002    0.002    0.002 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\serial\serialwin32.py:100(_reconfigure_port)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1452(_path_hooks)
    74/14    0.000    0.000    0.001    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:37(_compile)
     4255    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\selectors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\string.py:1(<module>)
     3815    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3157    0.001    0.000    0.001    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:631(_handlePause)
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\lzma.py:1(<module>)
     3978    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\string.py:69(__init_subclass__)
     3157    0.001    0.000    0.001    0.000 C:\Users\19059\Documents\Projects\envs\BetterTouch\Lib\site-packages\pyautogui\__init__.py:706(_logScreenshot)
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\fnmatch.py:1(<module>)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        7    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       67    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1584(_get_spec)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1165(exec_module)
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\unittest\runner.py:1(<module>)
     1336    0.000    0.000    0.001    0.000 C:\Users\19059\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:254(get)
     2828    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       67    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1640(_fill_cache)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
